No,Nama_Senyawa,SMILES,BM,Titik_Didih,Kelarutan,Bahaya_MSDS,APD,Encer_Min,Encer_Max,Sedang_Min,Sedang_Max,Pekat_Min,Pekat_Max
"1,Asam Sulfat,OS(=O)(=O)O,98.08,337,Larut,Korosif,""Goggle, Nitril, Apron"",0.05,0.5,1.0,3.0,6.0,18.0"
2,Asam Klorida,Cl,36.46,110,Larut,Korosif,Lemari Asam,0.1,1.0,2.0,5.0,6.0,12.0
"3,Asam Nitrat,O[N+](=O)[O-],63.01,83,Larut,Oksidator,""Goggle, Nitril"",0.1,1.0,2.0,6.0,8.0,16.0"
4,Asam Asetat,CC(=O)O,60.05,118,Misibel,Korosif,Goggle,0.1,1.0,2.0,6.0,10.0,17.4
5,Natrium Hidroksida,[OH-].[Na+],40.0,1388,Larut,Korosif,Sarung PVC,0.01,0.1,0.5,2.0,3.0,10.0
6,Kalium Hidroksida,[OH-].[K+],56.11,1327,Larut,Korosif,Sarung PVC,0.01,0.1,0.5,2.0,3.0,12.0
7,Amonia,N,17.03,-33.3,Larut,Toksik uap,Lemari Asam,0.1,1.0,2.0,5.0,7.0,15.0
8,Etanol,CCO,46.07,78.4,Misibel,Flammable,Goggle,1.0,5.0,6.0,10.0,12.0,17.0
"9,Aseton,CC(=O)C,58.08,56.1,Misibel,Flammable,""Goggle, Nitril"",1.0,2.0,4.0,8.0,10.0,13.6"
10,Kloroform,ClC(Cl)Cl,119.3,61.2,Rendah,Karsinogen,Lemari Asam,0.1,0.5,1.0,2.0,5.0,12.5
"11,Metanol,CO,32.04,64.7,Misibel,Toksik,""Goggle, Nitril"",1.0,5.0,10.0,15.0,20.0,24.7"
12,Benzena,c1ccccc1,78.11,80.1,Tidak,Karsinogen,Lemari Asam,0.1,0.5,1.0,2.0,5.0,11.2
13,Perak Nitrat,[Ag+].[NO3-],169.8,440,Tinggi,Korosif,Nitril,0.01,0.05,0.1,0.2,0.5,1.0
14,Kalium Permanganat,[K+].[MnO4-],158.0,240,Sedang,Oksidator,Goggle,0.001,0.01,0.02,0.1,0.2,0.5
15,Tembaga(II) Sulfat,[Cu+2].[SO4-2],159.6,650,Sedang,Iritasi,Nitril,0.05,0.1,0.2,0.5,0.6,1.0
16,Besi(III) Klorida,Cl[Fe](Cl)Cl,162.2,315,Tinggi,Korosif,Goggle,0.1,0.5,1.0,2.0,2.5,3.0
17,Hidrogen Peroksida,OO,34.01,150.2,Misibel,Oksidator,Goggle,0.1,0.5,1.0,3.0,5.0,10.0
18,Natrium Sianida,[Na+].[C-]#N,49.01,1496,Tinggi,FATAL,Full APD,0.01,0.1,0.2,0.5,0.8,1.0
19,Formalin,C=O,30.03,-19,Larut,Karsinogen,Lemari Asam,0.1,1.0,2.0,5.0,8.0,13.3
20,Barium Klorida,Cl[Ba]Cl,208.2,1560,Sedang,Toksik,Nitril,0.01,0.1,0.2,0.5,0.6,1.0
21,n-Heksana,CCCCCC,86.18,69,Tidak,Flammable,Goggle,1.0,3.0,4.0,6.0,7.0,7.6
22,Toluena,Cc1ccccc1,92.14,110.6,Tidak,Toksik,Lemari Asam,0.1,2.0,3.0,5.0,6.0,9.4
23,Dietil Eter,CCOCC,74.12,34.6,Rendah,Flammable,Lemari Asam,1.0,3.0,4.0,6.0,8.0,9.6
24,Kalium Iodida,[K+].[I-],166.0,1330,Tinggi,Iritasi,Goggle,0.1,0.5,0.6,1.0,1.5,2.0
